,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-3.2351246982143046e-06,0.07372983919428416,-4.387809241912879e-05,0.9999649903475125,-0.14451106453142484,0.14450459428202841
Δx,-0.449066740661186,0.08930303597067701,-5.0285719380093505,4.941461283775806e-07,-0.624097474873798,-0.2740360064485741
