,bookleverage1_winsorized_demeaned,ebitint_winsorized_demeaned,cash_winsorized_demeaned,profitability_winsorized_demeaned,totalpayout_winsorized_demeaned,markettobook_winsorized_demeaned
bookleverage1_winsorized_demeaned,1.0,0.00847193185501442,-0.06093885536121207,-0.4294687690866476,0.0012821988592181084,0.22765258138298652
ebitint_winsorized_demeaned,0.00847193185501442,1.0,0.008296020277706458,0.006471628666104313,0.004006308113455172,0.0012884798205571465
cash_winsorized_demeaned,-0.06093885536121207,0.008296020277706458,1.0,-0.02579307287663024,-0.0022806739997794424,0.06176674150661986
profitability_winsorized_demeaned,-0.4294687690866476,0.006471628666104313,-0.02579307287663024,1.0,0.0033500367110004575,-0.47516903267925903
totalpayout_winsorized_demeaned,0.0012821988592181084,0.004006308113455172,-0.0022806739997794424,0.0033500367110004575,1.0,0.0003482076430837181
markettobook_winsorized_demeaned,0.22765258138298652,0.0012884798205571465,0.06176674150661986,-0.47516903267925903,0.0003482076430837181,1.0
