,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.5265878502710954,0.06520004645599019,8.076495016403715,6.665488503160319e-16,0.39879810742701627,0.6543775931151746
profitability,-0.42363097714382203,0.21920781566535086,-1.9325541649050946,0.053291143433151444,-0.8532704009776048,0.0060084466899607
