fyear,is_utility
2009.0,10
2010.0,274
2011.0,268
2012.0,261
2013.0,261
2014.0,249
2015.0,245
2016.0,227
2017.0,226
2018.0,211
2019.0,203
2020.0,196
2021.0,191
2022.0,13
