,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-7.521652571618187e-19,0.006297046114995531,-1.1944731599958317e-16,0.9999999999999999,-0.01234260743216923,0.01234260743216923
demeaned_x,-0.20528277808971856,0.0027902402462751798,-73.5717214185266,0.0,-0.21075182490505034,-0.19981373127438679
