,bookleverage1,ebitint,cash,profitability,totalpayout,markettobook
bookleverage1,1.0,-0.0005027904695368617,0.041570029727766224,-0.3346602399716574,-0.0009403826053260614,0.20903418454100794
ebitint,-0.0005027904695368617,1.0,-0.04451586936123715,0.0059673199673359,0.0028883811250787926,-0.001708817273265899
cash,0.041570029727766224,-0.04451586936123715,1.0,-0.0302069159870931,-0.008990839505115455,0.027261618059155654
profitability,-0.3346602399716574,0.0059673199673359,-0.0302069159870931,1.0,0.001619668579214776,-0.3995749239487156
totalpayout,-0.0009403826053260614,0.0028883811250787926,-0.008990839505115455,0.001619668579214776,1.0,-0.0009462139530771811
markettobook,0.20903418454100794,-0.001708817273265899,0.027261618059155654,-0.3995749239487156,-0.0009462139530771811,1.0
