,bookleverage1,ebitint,cash,profitability,totalpayout,markettobook
bookleverage1,1.0,-0.0005027904695368537,0.041570029727766196,-0.3346602399716574,-0.0009403826053260592,0.20903418454100792
ebitint,-0.0005027904695368537,1.0,-0.04451586936123716,0.005967319967335901,0.0028883811250787934,-0.001708817273265896
cash,0.041570029727766196,-0.04451586936123716,1.0,-0.03020691598709307,-0.008990839505115436,0.0272616180591556
profitability,-0.3346602399716574,0.005967319967335901,-0.03020691598709307,1.0,0.0016196685792147756,-0.3995749239487156
totalpayout,-0.0009403826053260592,0.0028883811250787934,-0.008990839505115436,0.0016196685792147756,1.0,-0.0009462139530771804
markettobook,0.20903418454100792,-0.001708817273265896,0.0272616180591556,-0.3995749239487156,-0.0009462139530771804,1.0
