,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,0.33532379406337987,0.002953915256431412,113.5184204534291,0.0,0.32953412379499814,0.3411134643317616
profitability_winsorized,-0.2603129146416605,0.001449311320709189,-179.61145471097407,0.0,-0.26315356304715204,-0.257472266236169
