,bookleverage1_winsorized,ebitint_winsorized,cash_winsorized,profitability_winsorized,totalpayout_winsorized,markettobook_winsorized
bookleverage1_winsorized,1.0,-0.005674331763286626,-0.03346752213021237,-0.5666814692656277,-0.030617676590932254,0.3244985160914588
ebitint_winsorized,-0.005674331763286626,1.0,-0.044067845012803135,0.024772751865887756,0.021950003661285033,-0.003837701627536535
cash_winsorized,-0.03346752213021237,-0.044067845012803135,1.0,-0.09611811036386246,-0.05637768961012314,0.06677486365982588
profitability_winsorized,-0.5666814692656277,0.024772751865887756,-0.09611811036386246,1.0,0.04418541243003337,-0.49924008601377534
totalpayout_winsorized,-0.030617676590932254,0.021950003661285033,-0.05637768961012314,0.04418541243003337,1.0,-0.014560742078611
markettobook_winsorized,0.3244985160914588,-0.003837701627536535,0.06677486365982588,-0.49924008601377534,-0.014560742078611,1.0
