,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,3.3347726099777354e-05,0.059438474386021754,0.0005610461312179943,0.9995523546947335,-0.11646986518941274,0.1165365606416123
Δx,-0.40021790949437397,0.005284269304224356,-75.73760655506928,0.0,-0.4105754154400134,-0.3898604035487345
