,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-7.521652571618187e-19,0.006297046114995549,-1.1944731599958282e-16,0.9999999999999999,-0.012341983594379144,0.012341983594379144
demeaned_x,-0.20528277808971856,0.024803204313203715,-8.276462004566019,1.2688897231519424e-16,-0.25389616524478636,-0.15666939093465077
